acc_train=0.01301531093012531,acc_loss=2.030219316482544,val_acc=0.013710904918290603,val_loss=2.0323286578059196
acc_train=0.009868138244945597,acc_loss=2.0525012016296387,val_acc=0.014032872851447352,val_loss=2.030310235917568
acc_train=0.014776169813020204,acc_loss=2.0210728645324707,val_acc=0.013837274772058147,val_loss=2.029946029186249
acc_train=0.017642027904408223,acc_loss=2.017770290374756,val_acc=0.013842460226626094,val_loss=2.0279507599771023
acc_train=0.009904729702985574,acc_loss=2.0447235107421875,val_acc=0.013996005198807799,val_loss=2.0264383777976036
acc_train=0.010687454411878523,acc_loss=2.0507917404174805,val_acc=0.013675113319777329,val_loss=2.02587229013443
acc_train=0.010108743366072153,acc_loss=2.0428497791290283,val_acc=0.01379187241323726,val_loss=2.02580888196826
acc_train=0.01686151066438711,acc_loss=2.0317938327789307,val_acc=0.013602782400276443,val_loss=2.0233669504523277
acc_train=0.015213133355549666,acc_loss=2.0321247577667236,val_acc=0.013863806313164077,val_loss=2.0218005552887917
acc_train=0.009110923168170425,acc_loss=2.0518178939819336,val_acc=0.013915925841530497,val_loss=2.020379789173603
acc_train=0.01248567717651091,acc_loss=2.0263638496398926,val_acc=0.013832384985586796,val_loss=2.01987112313509
acc_train=0.018137716869545795,acc_loss=2.0025787353515625,val_acc=0.013672152451243435,val_loss=2.01833912730217
acc_train=0.015493270267057197,acc_loss=2.0116333961486816,val_acc=0.013486337924476781,val_loss=2.0181193351745605
acc_train=0.012465248790278362,acc_loss=2.0354549884796143,val_acc=0.013819635989909807,val_loss=2.01560515165329
acc_train=0.014396333267288921,acc_loss=1.9979264736175537,val_acc=0.013748403850769631,val_loss=2.0137448124587536
acc_train=0.008380782477491713,acc_loss=2.035083770751953,val_acc=0.01391466163938979,val_loss=2.011393491178751
acc_train=0.01352448158296369,acc_loss=2.009227991104126,val_acc=0.013647930916113854,val_loss=2.0115386582911015
acc_train=0.008995232724810159,acc_loss=2.020925998687744,val_acc=0.01317415852713693,val_loss=2.0101993903517723
acc_train=0.012150032074572279,acc_loss=2.0062761306762695,val_acc=0.013412300989330677,val_loss=2.007709439843893
acc_train=0.01537150422588806,acc_loss=2.0190489292144775,val_acc=0.013596426186881288,val_loss=2.007184572517872
acc_train=0.01331348361973763,acc_loss=2.0089612007141113,val_acc=0.013257521774683272,val_loss=2.003698367625475
acc_train=0.009141054212017692,acc_loss=2.0347793102264404,val_acc=0.013299208242838253,val_loss=1.9771941378712654
acc_train=0.009444537472205774,acc_loss=1.9945553541183472,val_acc=0.010222068538691982,val_loss=1.76558243855834
acc_train=0.011197647167123006,acc_loss=1.7101680040359497,val_acc=6.50492902294669e-06,val_loss=1.835165049880743
acc_train=7.09983591123422e-05,acc_loss=1.8513000011444092,val_acc=0.01188169035974666,val_loss=2.0046785473823547
acc_train=0.013992446025921102,acc_loss=1.9755232334136963,val_acc=0.013740942999656227,val_loss=2.001790441572666
acc_train=0.008836910476856516,acc_loss=2.021160840988159,val_acc=0.013959100358077278,val_loss=2.000511970371008
acc_train=0.010195534106777244,acc_loss=2.006669759750366,val_acc=0.013958114305993197,val_loss=1.9992049746215343
acc_train=0.011854320390319022,acc_loss=2.0149717330932617,val_acc=0.014018358781868029,val_loss=1.9978969059884548
acc_train=0.013236943248949168,acc_loss=2.032379627227783,val_acc=0.013770508327497936,val_loss=1.9983418695628643
acc_train=0.012615523645244282,acc_loss=2.009319543838501,val_acc=0.013848672542575085,val_loss=1.9963096156716347
acc_train=0.011023528421869218,acc_loss=2.007810354232788,val_acc=0.013920309026344974,val_loss=1.9946846142411232
acc_train=0.011963835546408117,acc_loss=2.019688844680786,val_acc=0.013717110925970185,val_loss=1.9936539605259895
acc_train=0.012383493620410753,acc_loss=2.0087592601776123,val_acc=0.013723057829507591,val_loss=1.9939525201916695
acc_train=0.014283562246767701,acc_loss=1.9945745468139648,val_acc=0.01369177565907058,val_loss=1.9921027719974518
acc_train=0.013148390499991294,acc_loss=2.0113043785095215,val_acc=0.014025628521997006,val_loss=1.9888826310634613
acc_train=0.013613109743456779,acc_loss=2.010788679122925,val_acc=0.014096124995427894,val_loss=1.9881364591419697
acc_train=0.011773358501553097,acc_loss=2.0040981769561768,val_acc=0.01382471043271628,val_loss=1.988652739673853
acc_train=0.01438655568292478,acc_loss=1.9882113933563232,val_acc=0.014063130258362033,val_loss=1.9854417704045773
acc_train=0.01381747662245937,acc_loss=1.985391616821289,val_acc=0.013794397439338097,val_loss=1.983683716505766
acc_train=0.011826154516430494,acc_loss=2.004181146621704,val_acc=0.01396866781075566,val_loss=1.9839365631341934
acc_train=0.012432600019910445,acc_loss=1.9867660999298096,val_acc=0.013776380746673887,val_loss=1.9826128855347633
acc_train=0.01201177297534144,acc_loss=1.9985069036483765,val_acc=0.01402618637143339,val_loss=1.9800266437232494
acc_train=0.012296777541762574,acc_loss=1.9857147932052612,val_acc=0.013979817281217829,val_loss=1.98089649528265
acc_train=0.009240413944270151,acc_loss=2.0198512077331543,val_acc=0.013723485238176753,val_loss=1.979460146278143
acc_train=0.0116028107423486,acc_loss=2.008274555206299,val_acc=0.013708055733362638,val_loss=1.978369239717722
acc_train=0.01196306737581655,acc_loss=1.9763697385787964,val_acc=0.01422741141150427,val_loss=1.9751426577568054
acc_train=0.016373755394839755,acc_loss=1.9881339073181152,val_acc=0.013969242681573377,val_loss=1.9742298312485218
acc_train=0.011724147577213325,acc_loss=1.9903016090393066,val_acc=0.014107298989589234,val_loss=1.9723872058093548
